municipio;indicador;poblacion
Lanzarote (ES708);Female (F);79013
Lanzarote (ES708);Male (M);80008
Lanzarote (ES708);Total (_T);159021
El Tanque (38044);Female (F);1441
El Tanque (38044);Male (M);1343
El Tanque (38044);Total (_T);2784
La Guancha (38018);Female (F);2839
La Guancha (38018);Male (M);2723
La Guancha (38018);Total (_T);5562
San Bartolomé (35018);Female (F);9691
San Bartolomé (35018);Male (M);9509
San Bartolomé (35018);Total (_T);19200
Yaiza (35034);Female (F);8483
Yaiza (35034);Male (M);8932
Yaiza (35034);Total (_T);17415
Tacoronte (38043);Female (F);12373
Tacoronte (38043);Male (M);12279
Tacoronte (38043);Total (_T);24652
Villa de Mazo (38053);Female (F);2435
Villa de Mazo (38053);Male (M);2515
Villa de Mazo (38053);Total (_T);4950
Icod de los Vinos (38022);Female (F);12237
Icod de los Vinos (38022);Male (M);11734
Icod de los Vinos (38022);Total (_T);23971
Breña Baja (38009);Female (F);2940
Breña Baja (38009);Male (M);3023
Breña Baja (38009);Total (_T);5963
Santa Úrsula (38039);Female (F);7738
Santa Úrsula (38039);Male (M);7547
Santa Úrsula (38039);Total (_T);15285
Mogán (35012);Female (F);10124
Mogán (35012);Male (M);10721
Mogán (35012);Total (_T);20845
San Cristóbal de La Laguna (38023);Female (F);82606
San Cristóbal de La Laguna (38023);Male (M);76428
San Cristóbal de La Laguna (38023);Total (_T);159034
Tinajo (35029);Female (F);3331
Tinajo (35029);Male (M);3428
Tinajo (35029);Total (_T);6759
Alajeró (38003);Female (F);972
Alajeró (38003);Male (M);1084
Alajeró (38003);Total (_T);2056
Agüimes (35002);Female (F);16221
Agüimes (35002);Male (M);16422
Agüimes (35002);Total (_T);32643
Los Llanos de Aridane (38024);Female (F);10409
Los Llanos de Aridane (38024);Male (M);9780
Los Llanos de Aridane (38024);Total (_T);20189
Breña Alta (38008);Female (F);3745
Breña Alta (38008);Male (M);3560
Breña Alta (38008);Total (_T);7305
Gáldar (35009);Female (F);12318
Gáldar (35009);Male (M);12360
Gáldar (35009);Total (_T);24678
Pájara (35015);Female (F);10283
Pájara (35015);Male (M);10988
Pájara (35015);Total (_T);21271
Puerto del Rosario (35017);Female (F);21579
Puerto del Rosario (35017);Male (M);21811
Puerto del Rosario (35017);Total (_T);43390
Santiago del Teide (38040);Female (F);6038
Santiago del Teide (38040);Male (M);5934
Santiago del Teide (38040);Total (_T);11972
